역사_ID,역명,호선_x,위도,경도,철도운영기관명,호선_y,지번주소,도로명주소
4307,강남,신분당선,37.496837,127.028104,서울교통공사,2호선,서울특별시 강남구 역삼동 858 강남역(2호선),서울특별시 강남구 강남대로 지하396(역삼동)
4306,신논현,신분당선(연장2),37.504598,127.02506,서울9호선,9호선,서울특별시 강남구 역삼동 800,서울특별시 강남구 봉은사로 102
4305,논현,신분당선(연장2),37.511093,127.021415,서울교통공사,7호선,서울특별시 강남구 논현동 279-67 논현역(7호선),서울특별시 강남구 학동로 지하102(논현동)
4304,신사,신분당선(연장2),37.516334,127.020114,서울교통공사,3호선,서울특별시 강남구 신사동 667 신사역(3호선),서울특별시 강남구 도산대로 지하102(신사동)
4129,봉은사,9호선(연장),37.514219,127.060245,서울9호선,9호선,서울특별시 강남구 삼성동 172,서울특별시 강남구 봉은사로 601
4128,삼성중앙,9호선(연장),37.513011,127.053282,서울9호선,9호선,서울특별시 강남구 삼성동 111-147,서울특별시 강남구 봉은사로 501
4127,선정릉,9호선(연장),37.510297,127.043999,서울9호선,9호선,서울특별시 강남구 삼성동 111-114,서울특별시 강남구 선릉로 580
4126,언주,9호선(연장),37.507287,127.033868,서울9호선,9호선,서울특별시 강남구 논현동 279-165,서울특별시 강남구 봉은사로 201
2733,학동,7호선,37.514229,127.031656,서울교통공사,7호선,서울특별시 강남구 논현동 279-67 학동역(7호선),서울특별시 강남구 학동로 지하180(논현동)
2732,강남구청,7호선,37.517179,127.041255,서울교통공사,7호선,서울특별시 강남구 삼성동 111-44 강남구청역(7호선),서울특별시 강남구 학동로 지하346(삼성동)
2731,청담,7호선,37.519365,127.05335,서울교통공사,7호선,서울특별시 강남구 청담동 77-76 청담역(7호선),서울특별시 강남구 학동로 지하508(청담동)
1848,압구정로데오,분당선,37.527381,127.040534,코레일,수인분당,서울특별시 강남구 압구정동 495,서울시 강남구 압구정로 지하 402
1030,수서,분당선,37.487472,127.101422,서울교통공사,3호선,서울특별시 강남구 수서동 728 수서역(3호선),서울특별시 강남구 광평로 지하270(수서동)
1028,대모산입구,분당선,37.491373,127.07272,코레일,수인분당,서울시 강남구 일원동 700-1,서울시 강남구 개포로 522
1027,개포동,분당선,37.489116,127.06614,코레일,수인분당,서울시 강남구 개포동 181-2,서울시 강남구 개포로 지하420
1026,구룡,분당선,37.486839,127.058856,코레일,수인분당,서울특별시 강남구 개포동 175-3,서울특별시 강남구 개포로 지하 403
1025,도곡,분당선,37.491224,127.055186,서울교통공사,3호선,서울특별시 강남구 도곡동 339-2 도곡역(3호선),서울특별시 강남구 남부순환로 지하2814(도곡동)
1024,한티,분당선,37.496237,127.052873,코레일,수인분당,서울특별시 강남구 대치동 1011-28,서울특별시 강남구 선릉로 228 지하1층
1023,선릉,분당선,37.504856,127.048807,서울교통공사,2호선,서울특별시 강남구 삼성동 172-66 선릉역(2호선),서울특별시 강남구 테헤란로 지하340(삼성동)
338,일원,3호선,37.483681,127.08439,서울교통공사,3호선,서울특별시 강남구 일원동 717 일원역(3호선),서울특별시 강남구 일원로 지하121(일원동)
337,대청,3호선,37.493514,127.079532,서울교통공사,3호선,서울특별시 강남구 일원동 700-9 대청역(3호선),서울특별시 강남구 일원로 지하2(일원동)
336,학여울,3호선,37.496663,127.070594,서울교통공사,3호선,서울특별시 강남구 대치동 514-3 학여울역(3호선),서울특별시 강남구 남부순환로 지하3104(대치동)
335,대치,3호선,37.494612,127.063642,서울교통공사,3호선,서울특별시 강남구 대치동 317-3 대치역(3호선),서울특별시 강남구 남부순환로 지하2952(대치동)
333,매봉,3호선,37.486947,127.046769,서울교통공사,3호선,서울특별시 강남구 도곡동 179-2 매봉역(3호선),서울특별시 강남구 남부순환로 지하2744(도곡동)
326,압구정,3호선,37.527072,127.028461,서울교통공사,3호선,서울특별시 강남구 신사동 668 압구정역(3호선),서울특별시 강남구 압구정로 지하172(신사동)
221,역삼,2호선,37.500622,127.036456,서울교통공사,2호선,서울특별시 강남구 역삼동 804 역삼역(2호선),서울특별시 강남구 테헤란로 지하156(역삼동)
219,삼성,2호선,37.508844,127.06316,서울교통공사,2호선,서울특별시 강남구 삼성동 172-66 삼성역(2호선),서울특별시 강남구 테헤란로 지하538(삼성동)
