맥날 인허가일자,맥날 폐업일자,강남구 맥도날드,맥도날드 도로명주소,맥도날드 위도,맥도날드 경도
2010-12-22,,한국맥도날드 한티역점,서울특별시 강남구 도곡로 409,37.4973819,127.0551699
2010-12-17,,한국맥도날드(유) 선릉점,서울특별시 강남구 테헤란로 326,37.503531,127.0470524
2016-11-14,,한국맥도날드(유) 강남삼성DT점,서울특별시 강남구 봉은사로 432,37.5108805,127.0473581
2016-04-11,,한국맥도날드(유) 코엑스점,서울특별시 강남구 영동대로 513,37.5125207,127.0588194
2012-10-31,,한국맥도날드(주)삼성역점,서울특별시 강남구 삼성로92길 29,37.5083235,127.0587887
2000-05-03,,한국맥도날드청담점,서울특별시 강남구 도산대로 407,37.5237405,127.0403038
2009-09-16,,한국맥도날드(유) 압구정CGV점,서울특별시 강남구 논현로 848,37.5245826,127.0288278
2014-09-26,,한국맥도날드(유) 학동역점,서울특별시 강남구 논현로 667,37.513655,127.0304903
2013-12-24,,한국맥도날드(유)신사역점,서울특별시 강남구 도산대로 123,37.5174758,127.0218777
2012-06-26,,한국맥도날드(유) 강남구청점,서울특별시 강남구 선릉로 667,37.5162667,127.0413359
2013-11-19,,한국맥도날드(유) 강남2호점,서울특별시 강남구 테헤란로 107,37.4987079,127.0286602
1999-09-17,2018-03-16,한국맥도날드 대치점,서울특별시 강남구 삼성로 151,37.4921261,127.0625653
2012-09-13,2018-03-23,한국맥도날드(유) 역삼점,서울특별시 강남구 논현로 419,37.4976036,127.0380534
