Admin_District,Address,y
청담동,서울특별시 강남구 압구정로79길 88,1100000
청담동,서울특별시 강남구 압구정로79길 88,930000
청담동,서울특별시 강남구 도산대로99길 68,710000
청담동,서울특별시 강남구 압구정로75길 27,700000
청담동,서울특별시 강남구 압구정로71길 28,620000
청담동,서울특별시 강남구 도산대로99길 68,600000
청담동,서울특별시 강남구 도산대로99길 68,500000
청담동,서울특별시 강남구 영동대로142길 19,500000
도곡동,서울특별시 강남구 남부순환로373길 23,500000
도곡동,서울특별시 강남구 언주로30길 56,480000
청담동,서울특별시 강남구 영동대로142길 19,480000
도곡동,서울특별시 강남구 언주로30길 26,460000
도곡동,서울특별시 강남구 언주로30길 26,460000
도곡동,서울특별시 강남구 언주로30길 26,450000
삼성동,서울특별시 강남구 봉은사로 645,450000
삼성동,서울특별시 강남구 삼성로 636,450000
청담동,서울특별시 강남구 학동로97길 31,450000
청담동,서울특별시 강남구 학동로97길 31,450000
청담동,서울특별시 강남구 영동대로142길 19,450000
청담동,서울특별시 강남구 압구정로71길 28,450000
청담동,서울특별시 강남구 압구정로79길 87,450000
도곡동,서울특별시 강남구 언주로30길 26,440000
대치동,서울특별시 강남구 도곡로 603,430000
청담동,서울특별시 강남구 학동로97길 31,420000
청담동,서울특별시 강남구 학동로97길 31,420000
청담동,서울특별시 강남구 선릉로190길 64,420000
청담동,서울특별시 강남구 압구정로71길 28,410000
도곡동,서울특별시 강남구 언주로30길 26,400000
삼성동,서울특별시 강남구 삼성로 636,400000
삼성동,서울특별시 강남구 영동대로 640,400000
청담동,서울특별시 강남구 학동로97길 31,400000
청담동,서울특별시 강남구 압구정로71길 28,400000
청담동,서울특별시 강남구 압구정로79길 72,400000
청담동,서울특별시 강남구 학동로81길 28,400000
대치동,서울특별시 강남구 선릉로 206,380000
삼성동,서울특별시 강남구 영동대로 640,380000
삼성동,서울특별시 강남구 영동대로 640,380000
청담동,서울특별시 강남구 도산대로101길 38,380000
대치동,서울특별시 강남구 삼성로51길 35,370000
삼성동,서울특별시 강남구 삼성로 636,367500
대치동,서울특별시 강남구 선릉로 206,360000
대치동,서울특별시 강남구 삼성로51길 35,360000
도곡동,서울특별시 강남구 언주로30길 56,360000
도곡동,서울특별시 강남구 언주로30길 26,360000
도곡동,서울특별시 강남구 언주로30길 26,358000
대치동,서울특별시 강남구 선릉로 206,350000
대치동,서울특별시 강남구 선릉로 206,350000
대치동,서울특별시 강남구 선릉로 206,350000
대치동,서울특별시 강남구 선릉로 206,350000
대치동,서울특별시 강남구 삼성로51길 35,350000
도곡동,서울특별시 강남구 언주로30길 56,350000
도곡동,서울특별시 강남구 언주로30길 57,350000
도곡동,서울특별시 강남구 언주로30길 26,350000
삼성동,서울특별시 강남구 삼성로 636,350000
압구정동,서울특별시 강남구 압구정로 201,350000
압구정동,서울특별시 강남구 압구정로 201,350000
청담동,서울특별시 강남구 영동대로141길 14,350000
청담동,서울특별시 강남구 영동대로142길 19,350000
청담동,서울특별시 강남구 도산대로83길 27,350000
청담동,서울특별시 강남구 학동로97길 51,350000
청담동,서울특별시 강남구 학동로97길 51,350000
청담동,서울특별시 강남구 학동로97길 51,350000
도곡동,서울특별시 강남구 남부순환로378길 9,350000
도곡동,서울특별시 강남구 남부순환로373길 23,350000
청담동,서울특별시 강남구 압구정로77길 43,350000
삼성동,서울특별시 강남구 영동대로 640,345000
대치동,서울특별시 강남구 선릉로 206,340000
도곡동,서울특별시 강남구 언주로30길 56,340000
도곡동,서울특별시 강남구 언주로30길 26,340000
도곡동,서울특별시 강남구 언주로30길 26,340000
압구정동,서울특별시 강남구 압구정로 201,340000
청담동,서울특별시 강남구 선릉로190길 84,340000
삼성동,서울특별시 강남구 영동대로114길 72,336000
대치동,서울특별시 강남구 선릉로 222,330000
도곡동,서울특별시 강남구 언주로30길 26,330000
삼성동,서울특별시 강남구 영동대로 640,330000
청담동,서울특별시 강남구 영동대로142길 21,330000
청담동,서울특별시 강남구 영동대로142길 21,330000
청담동,서울특별시 강남구 선릉로190길 64,330000
청담동,서울특별시 강남구 도산대로83길 27,330000
청담동,서울특별시 강남구 학동로97길 51,325000
청담동,서울특별시 강남구 학동로97길 51,325000
청담동,서울특별시 강남구 학동로97길 51,325000
도곡동,서울특별시 강남구 선릉로 221,320000
도곡동,서울특별시 강남구 언주로30길 57,320000
도곡동,서울특별시 강남구 언주로30길 57,320000
도곡동,서울특별시 강남구 언주로30길 26,320000
삼성동,서울특별시 강남구 영동대로 640,320000
삼성동,서울특별시 강남구 영동대로114길 72,320000
대치동,서울특별시 강남구 선릉로 206,317000
대치동,서울특별시 강남구 삼성로51길 37,315000
도곡동,서울특별시 강남구 언주로30길 57,315000
도곡동,서울특별시 강남구 언주로30길 57,315000
대치동,서울특별시 강남구 선릉로 120,310000
대치동,서울특별시 강남구 선릉로 222,310000
도곡동,서울특별시 강남구 언주로30길 57,310000
대치동,서울특별시 강남구 선릉로 206,304500
대치동,서울특별시 강남구 선릉로 120,300000
대치동,서울특별시 강남구 삼성로51길 25,300000
대치동,서울특별시 강남구 선릉로 222,300000
